#NMR probe 1
#Time, Reading
0.0,60033.19529076384
1e-06,60012.47009336768
2e-06,59987.19535243517
3e-06,60032.42624863154
4e-06,60036.95584611925
5e-06,59994.15841952011
6e-06,59997.94366281405
7e-06,59990.767850353084
8e-06,59991.928129396096
9e-06,60021.48014908833
1e-05,60012.669687134454
1.1e-05,60031.93848155635
1.2e-05,59996.95389744291
1.3e-05,59967.497155193385
1.4e-05,59995.43680717937
1.5e-05,59997.89246188472
1.6e-05,60002.58463183788
1.7e-05,59972.83533819739
1.8e-05,59996.95288657816
1.9e-05,59961.70043982903
2e-05,59948.64434114387
2.1e-05,59985.50786664231
2.2e-05,59985.35423846572
2.3e-05,60001.44581761616
2.4e-05,59987.53162867089
2.5e-05,59996.31155659912
2.6e-05,60020.023842335904
2.7e-05,59939.128371840714
2.8e-05,59996.49306215311
2.9e-05,59993.80844064321
3e-05,59967.74392898803
3.1e-05,59960.20654663337
3.2e-05,59983.76316845969
3.3e-05,60050.850297507386
3.4e-05,60007.39245977498
3.5e-05,60055.54174299496
3.6e-05,59998.8990405832
3.7e-05,59993.022201768894
3.8e-05,59942.55246063307
3.9e-05,59946.150034361075
4e-05,60014.629739492615
4.1e-05,60018.69978065319
4.2e-05,60016.09653120422
4.3e-05,60056.068967732164
4.4e-05,59924.25994365368
4.5e-05,59949.9439732303
4.6e-05,60001.6022711235
4.7e-05,59997.648011135454
4.8e-05,59956.567878650305
4.9e-05,59971.430081450366
5e-05,60009.971650386644
5.1e-05,59977.054999939355
5.2e-05,60002.684075768186
5.3e-05,60002.16162162363
5.4e-05,60031.34157374622
5.5e-05,60020.645155946746
5.6e-05,59994.43249078264
5.7e-05,60033.05389855993
5.8e-05,60003.721229843875
5.9e-05,59993.93553175666
6e-05,60044.133497743765
6.1e-05,60020.67485818521
6.2e-05,59990.278844596345
6.3e-05,60034.91850584818
6.4e-05,59995.114887564865
6.5e-05,60027.74516838183
6.6e-05,59989.79913315118
6.7e-05,60006.56258805257
6.8e-05,60031.14002111682
6.9e-05,60007.39806708364
7e-05,59983.96266663665
7.1e-05,59981.898544979755
7.2e-05,59978.25621214186
7.3e-05,60029.192662763475
7.4e-05,59983.12151560023
7.5e-05,59985.2537346508
7.6e-05,60003.74780880686
7.7e-05,60012.21229299683
7.8e-05,60038.53630193667
7.9e-05,60001.55273859523
8e-05,60023.37304378707
8.1e-05,60038.90514940713
8.2e-05,60007.50904005696
8.3e-05,59992.847736757794
8.4e-05,59967.96003815042
8.5e-05,60016.43968980901
8.6e-05,59995.01788318371
8.7e-05,60045.08797340377
8.8e-05,60013.180382591854
8.9e-05,59969.42702159882
9e-05,59977.67559478114
9.1e-05,60027.59980224515
9.2e-05,59994.186838726295
9.3e-05,59944.21535009998
9.4e-05,60010.6043569487
9.5e-05,59991.648018737396
9.6e-05,60018.115130552185
9.7e-05,60023.66473699485
9.8e-05,59989.50281706699
9.9e-05,60015.95584278853
0.0001,60017.68866594953
0.000101,59972.46701397099
0.000102,59993.90588051178
0.000103,60024.76861970086
0.000104,59972.3200662798
0.000105,60027.59295264161
0.000106,59930.53418637727
0.000107,59980.522953262436
0.000108,60056.10362095571
0.000109,59953.58791898036
0.00011,59993.425174784614
0.000111,59975.19101941474
0.000112,59949.54044668
0.000113,60015.86901651586
0.000114,60024.20314831821
0.000115,60008.38712280401
0.000116,59967.04612691058
0.000117,59993.20764051302
0.000118,59973.94169858472
0.000119,60005.78080120027
0.00012,60021.47619237006
0.000121,59983.34382795733
0.000122,60043.05610585434
0.000123,60042.556205226094
0.000124,59992.55200962119
0.000125,60005.95023496142
0.000126,59938.01315047397
0.000127,59965.129765481084
0.000128,59989.6131857297
0.000129,60022.161992098154
0.00013,59989.11435419668
0.000131,60008.82064817174
0.000132,59983.98946453422
0.000133,59938.257886673775
0.000134,59993.08455034231
0.000135,60041.37478732545
0.000136,60035.75660300465
0.000137,60004.37600461825
0.000138,59951.1206782183
0.000139,59993.580397228856
0.00014,60088.37053390348
0.000141,60013.657942205275
0.000142,60034.25259787761
0.000143,60043.81516636456
0.000144,59997.47913775506
0.000145,59965.99480067437
0.000146,60024.08654682524
0.000147,60002.92011758219
0.000148,59984.85524675333
0.000149,59978.773532708445
0.00015,59943.08936655918
0.000151,59972.21171949674
0.000152,60021.503522953106
0.000153,59945.94777984628
0.000154,60043.32635978785
0.000155,59993.719701804584
0.000156,60002.29238150097
0.000157,60002.950583939244
0.000158,60042.09242094288
0.000159,60021.39579244513
0.00016,60030.42007770103
0.000161,59992.33507142067
0.000162,60027.32349064673
0.000163,59969.8430895437
0.000164,60029.278423832424
0.000165,60021.20755810978
0.000166,59996.71650769828
0.000167,59991.34193609687
0.000168,60016.75173197472
0.000169,59980.67277133978
0.00017,59993.72810396234
0.000171,59951.19359929394
0.000172,60027.040854420615
0.000173,60003.86126140941
0.000174,59977.00633660133
0.000175,60002.14689115714
0.000176,60050.10219395071
0.000177,59997.64343286754
0.000178,60039.864834493404
0.000179,59980.97826975922
0.00018,59982.58175302363
0.000181,59964.01757822318
0.000182,60022.1826370567
0.000183,59992.1463238284
0.000184,59981.54090952164
0.000185,59979.249945767864
0.000186,60041.803352539755
0.000187,60030.88883379713
0.000188,59945.071528485634
0.000189,60040.47667229368
0.00019,59974.223158515684
0.000191,60003.60534691724
0.000192,60003.64930342708
0.000193,59970.901944515645
0.000194,59980.61223734005
0.000195,60004.16961050016
0.000196,59997.96202918535
0.000197,60039.140922728875
0.000198,59992.11832947176
0.000199,60005.907905658794
0.0002,60002.04555162115
0.000201,59991.73175311044
0.000202,60053.9943062811
0.000203,60021.18054298187
0.000204,59963.503895622314
0.000205,60016.67882766515
0.000206,60063.6449828579
0.000207,59979.27184540584
0.000208,60043.314982652744
0.000209,59976.17509613169
0.00021,59989.134179466935
0.000211,60023.21963891309
0.000212,59996.95405242394
0.000213,60032.41659793239
0.000214,59989.50535603953
0.000215,60003.006321912304
0.000216,60012.61795407873
0.000217,59969.57827014979
0.000218,59974.91723042107
0.000219,60031.42089383582
0.00022,59968.166375077446
0.000221,60036.96860018763
0.000222,59971.300340304515
0.000223,60049.36567454278
0.000224,60021.08378600939
0.000225,59982.129952918265
0.000226,59961.803212233855
0.000227,59998.370325459946
0.000228,60005.344507176254
0.000229,60045.930172238244
0.00023,60005.69233017801
0.000231,60000.81467633304
0.000232,60042.22923971319
0.000233,59975.26693941269
0.000234,60045.61539214048
0.000235,60009.19421535423
0.000236,59982.635874055784
0.000237,59966.55532783121
0.000238,60009.40490652087
0.000239,60014.502627068905
0.00024,60022.55801785711
0.000241,60016.098742818
0.000242,59979.975214010585
0.000243,59984.11383494279
0.000244,60025.79984159755
0.000245,60021.21481554769
0.000246,59928.88714458738
0.000247,60001.65605287087
0.000248,60029.54419317654
0.000249,60012.68700983149
0.00025,59986.74737337961
0.000251,59995.62807179929
0.000252,60026.04944925707
0.000253,60018.51337742276
0.000254,60020.490359908865
0.000255,60015.16183251175
0.000256,60039.78971473383
0.000257,59979.503707872376
0.000258,59994.88893419407
0.000259,59972.090204012464
0.00026,59987.887231719564
0.000261,60000.995709720766
0.000262,59988.805942659776
0.000263,59985.716367094676
0.000264,59981.57043270791
0.000265,60013.37692065651
0.000266,60070.68432024643
0.000267,59949.59545531711
0.000268,59941.1429826972
0.000269,59987.415817976704
0.00027,60015.76227796244
0.000271,60001.516364312745
0.000272,59993.684146850384
0.000273,60029.04693132763
0.000274,60022.700569899534
0.000275,60006.60941876061
0.000276,60008.12913954562
0.000277,59960.12188433308
0.000278,59975.47600478494
0.000279,60035.95273062191
0.00028,59969.310519439656
0.000281,59949.17306291698
0.000282,59970.41220512189
0.000283,60025.05183875592
0.000284,59960.98362873961
0.000285,60022.90458757164
0.000286,60030.26700996123
0.000287,60009.69523512703
0.000288,59992.32878333817
0.000289,59956.515600665625
0.00029,59961.154381258166
0.000291,60001.794391759
0.000292,60037.777861862014
0.000293,59980.10038512852
0.000294,60007.53409953758
0.000295,59992.86701604847
0.000296,59959.21657241571
0.000297,59970.38976796047
0.000298,59966.442118127015
0.000299,60018.866578467336
0.0003,59950.57597877214
0.000301,60006.90302035612
0.000302,59993.35725294264
0.000303,60007.108096997115
0.000304,59979.26777723104
0.000305,59963.7061747847
0.000306,59992.82358565239
0.000307,59979.24573573821
0.000308,59996.47149008188
0.000309,59962.594880305056
0.00031,59989.70447871898
0.000311,60016.960821507826
0.000312,60000.40759521246
0.000313,59994.96293133835
0.000314,60047.26860994716
0.000315,60026.54691408935
0.000316,59999.225981897944
0.000317,59957.9282026893
0.000318,59983.85354383175
0.000319,60031.9593680039
0.00032,59987.07664185514
0.000321,59983.94487521404
0.000322,59980.59293950461
0.000323,60023.359406027645
0.000324,60001.070025168134
0.000325,59971.98047856587
0.000326,60030.70997886524
0.000327,59975.15027388074
0.000328,59982.841835798
0.000329,59954.14552144666
0.00033,60032.34938130432
0.000331,59959.50746644292
0.000332,59947.432742786055
0.000333,59964.30740427723
0.000334,59966.87771225797
0.000335,59954.89847187571
0.000336,60050.01991317805
0.000337,59974.53211674632
0.000338,60009.54759165294
0.000339,59992.32992961492
0.00034,60031.42509238247
0.000341,59999.14473768862
0.000342,60021.673618433706
0.000343,60039.405702912314
0.000344,59982.468647926165
0.000345,59989.99769519575
0.000346,60033.82594880607
0.000347,60054.35220567685
